2024.12.08 12:48:15 INFO  Started: Metals version 1.4.1 in folders '/home/sahil/adventofcode/2024/newscalaproject' for client Visual Studio Code 1.95.3.[0m
2024.12.08 12:48:19 WARN  Flyway upgrade recommended: H2 2.3.232 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.224.[0m
2024.12.08 12:48:21 INFO  no build target found for /home/sahil/adventofcode/2024/newscalaproject/day1.scala. Using presentation compiler with project's scala-library version: 3.3.4[0m
2024.12.08 12:48:27 INFO  Running List(/home/sahil/.local/share/coursier/bin/scala-cli, setup-ide, /home/sahil/adventofcode/2024/newscalaproject)[0m
2024.12.08 12:48:29 INFO  Attempting to connect to the build server...[0m
2024.12.08 12:48:29 INFO  Running BSP server List(/home/sahil/.local/share/coursier/bin/.scala-cli.aux, bsp, --json-options, /home/sahil/adventofcode/2024/newscalaproject/.scala-build/ide-options-v2.json, --json-launcher-options, /home/sahil/adventofcode/2024/newscalaproject/.scala-build/ide-launcher-options.json, --envs-file, /home/sahil/adventofcode/2024/newscalaproject/.scala-build/ide-envs.json, /home/sahil/adventofcode/2024/newscalaproject)[0m
2024.12.08 12:48:29 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/sahil/adventofcode/2024/newscalaproject/.metals/bsp.trace.json or /home/sahil/.cache/metals/bsp.trace.json[0m
2024.12.08 12:48:31 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/bloop-frontend_2.12/2.0.5/bloop-frontend_2.12-2.0.5.pom[0m
2024.12.08 12:48:34 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/bloop-frontend_2.12/2.0.5/bloop-frontend_2.12-2.0.5.pom[0m
2024.12.08 12:48:34 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom[0m
2024.12.08 12:48:34 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom[0m
